Nome completo do colaborador;Departamento/time;E-mail;ID do certificado;Tipo do certificado;Nome do certificado;Instituição emissora;Área de conhecimento;Data de conclusão;Data de vencimento (se aplicável);Carga horária (se aplicável);Modalidade do curso;Obrigatoriedade de certificado;Categoria do conhecimento obtido;Upload do certificado (arquivo);Observações (opcional)
Valentina Farias;Compras;rochabreno@das.com;f9d3cf3a-7bb2-45a4-848b-e7d2924f574a;Treinamento Interno;O conforto de atingir seus objetivos com toda a tranquilidade;Rezende Almeida S/A;Desenvolvimento de Software;2023-05-29;2024-01-04;8;Híbrido;Não;Normativo / Regulatórios;ex.pdf;
Maria Cecília Dias;Design UX/UI;alvesluiz-fernando@lima.br;c8b57fd8-3b71-496f-a239-db60e4c186a8;Treinamento Interno;A vantagem de realizar seus sonhos antes de tudo;da Mota;LGPD / Compliance;2024-07-21;;8;Híbrido;Não;Técnica / Operacional;esse.pdf;
Ana Laura Sales;Financeiro;laisnascimento@uol.com.br;18544ff3-a2a3-4960-980d-e5481b598b68;Treinamento Interno;O conforto de mudar mais facilmente;da Mata Ltda.;Desenvolvimento de Software;2024-07-12;2026-05-13;40;Híbrido;Sim;Gestão / Liderança;repellendus.pdf;
Srta. Helena Souza;Compliance / Governança;gcosta@hotmail.com;2df13d79-a911-444a-8e00-b8a0d9f05aca;Treinamento Interno;A vantagem de realizar seus sonhos com força total;Duarte - ME;Ciência de Dados / Analytics;2025-04-02;2027-01-09;20;Presencial;Não;Normativo / Regulatórios;autem.pdf;
Melissa Gonçalves;Recursos Humanos (RH);alicesilveira@bol.com.br;81c1eee8-9b94-4d66-936c-5ce069a8fb70;Treinamento Interno;A certeza de mudar simplesmente;Porto;Compras / Suprimentos;2023-07-19;2025-09-23;40;Online ao vivo;Sim;Cultura e Valores da Empresa;esse.pdf;
Nicole Viana;Recursos Humanos (RH);pedro-henrique84@fernandes.br;1ed6594b-b6fa-4654-af93-828cc0cb1518;Certificação externa;A simplicidade de avançar mais facilmente;Azevedo;Ciência de Dados / Analytics;2023-12-13;;;Online ao vivo;Não;Normativo / Regulatórios;consequuntur.pdf;
Benício Araújo;Recursos Humanos (RH);almeidarenan@da.net;c316de28-bb88-4cc3-9f30-57e81a022b0d;Certificação externa;A liberdade de realizar seus sonhos naturalmente;da Costa;Investimentos;2025-01-15;2026-07-31;4;Online gravado / EAD;Não;Normativo / Regulatórios;accusantium.pdf;
Lara Freitas;Marketing;yfreitas@costa.br;80617453-796d-4e36-a2bc-5ba24ffeb3c3;Certificação externa;A simplicidade de ganhar mais facilmente;Moreira S/A;Segurança da Informação;2023-06-07;2024-07-28;;Híbrido;Não;Cultura e Valores da Empresa;tenetur.pdf;
Bruna Nascimento;Administrativo;lavinia21@da.br;b18972cc-96c8-49d9-b4d1-3fcf67f71f5f;Treinamento Interno;A arte de avançar direto da fonte;Araújo;Segurança da Informação;2024-08-24;2026-07-16;40;Online ao vivo;Não;Técnica / Operacional;nostrum.pdf;Nam non exercitationem pariatur.
Amanda Pires;Administrativo;ggoncalves@da.com;23d26d4b-7fb6-4082-843c-0d019280ed37;Treinamento Interno;O poder de ganhar sem preocupação;Moraes S/A;Investimentos;2024-06-20;2027-01-04;4;Híbrido;Não;Normativo / Regulatórios;consequatur.pdf;
Maria Luiza Carvalho;Design UX/UI;joaopires@bol.com.br;6ab1216c-f930-4c40-b1de-3f4414b5b753;Certificação externa;A segurança de conseguir naturalmente;Sales Ltda.;Segurança da Informação;2024-10-22;;8;Online gravado / EAD;Não;Normativo / Regulatórios;praesentium.pdf;
Luana Lima;Recursos Humanos (RH);marcelarocha@ig.com.br;18654428-e9cc-46b6-98aa-829214a23970;Treinamento Interno;O prazer de inovar antes de tudo;Costa;Comercial / Relacionamentos;2023-08-30;2026-05-14;;Online ao vivo;Não;Gestão / Liderança;illum.pdf;
Lucca Barbosa;Tecnologia da Informação (TI);julianamonteiro@ig.com.br;e6c2c87e-0c6b-4d11-add0-dccebb3de2c9;Certificação externa;DADO_INVALIDO;Viana;Ciência de Dados / Analytics;2023-09-21;2024-11-25;4;Presencial;Não;Cultura e Valores da Empresa;eius.pdf;
Vicente Viana;Compras;aferreira@campos.net;0bd08e89-25a6-4fea-bc09-5eb916cfc198;Treinamento Interno;O prazer de inovar mais facilmente;Nascimento;LGPD / Compliance;2023-09-07;;4;Online ao vivo;Sim;Normativo / Regulatórios;soluta.pdf;
Luana da Costa;Financeiro;idias@da.net;6ce59309-0002-459a-ab1a-10c3a56dbdf2;Certificação externa;A segurança de evoluir antes de tudo;Moraes;Compras / Suprimentos;2024-10-26;2026-01-22;20;Presencial;Sim;Técnica / Operacional;occaecati.pdf;
Sra. Rebeca Silveira;Produtos;camposanthony@yahoo.com.br;2f657fbb-51aa-4031-b63b-558720c10401;Certificação externa;A simplicidade de mudar naturalmente;Nascimento;Ciência de Dados / Analytics;2024-08-16;2027-02-09;40;Online gravado / EAD;Sim;Gestão / Liderança;nemo.pdf;
Ana Luiza Porto;Compliance / Governança;gomesvitoria@bol.com.br;bc1e3cd9-9db5-46cc-bf3c-ea4f44085b92;Treinamento Interno;A liberdade de mudar naturalmente;da Cruz;Projetos / Scrum / Agile;2023-04-15;2023-12-06;80;Online ao vivo;Não;Normativo / Regulatórios;tempora.pdf;Dolore sunt itaque sit ullam.
Kevin Carvalho;Tecnologia da Informação (TI);sophiacostela@bol.com.br;ae064dd7-ef20-4592-82c6-7ab899b42172;Certificação externa;A certeza de conseguir sem preocupação;Alves;Operações Administrativas / Processos;2023-05-05;2024-02-11;4;Online ao vivo;Sim;Cultura e Valores da Empresa;deleniti.pdf;Hic quis maxime nisi nisi culpa ipsa.
Kaique Mendes;Design UX/UI;rodrigoda-conceicao@gomes.br;75d42046-2b9d-4a08-b709-3a35996d86e8;Certificação externa;A liberdade de inovar antes de tudo;Alves e Filhos;Projetos / Scrum / Agile;2025-02-05;2026-08-11;;Presencial;Não;Cultura e Valores da Empresa;atque.pdf;
Rafael Rezende;Administrativo;joao-lucas69@uol.com.br;efcf7d87-2f1d-44f1-82bc-ee31cd4deb8b;Treinamento Interno;A liberdade de evoluir mais rapidamente;Barbosa - EI;Projetos / Scrum / Agile;2023-05-11;;40;Híbrido;Sim;Cultura e Valores da Empresa;illum.pdf;
Stephany Rocha;Produtos;freitashelena@da.com;b0efdfd4-6165-4f29-baac-b03c92dc1a86;Treinamento Interno;O conforto de mudar antes de tudo;Campos;Infraestrutura de TI;2024-10-27;;12;Presencial;Sim;Cultura e Valores da Empresa;doloribus.pdf;Vero aspernatur repellat quis veritatis deleniti quibusdam accusamus.
Yasmin Souza;Administrativo;dviana@rodrigues.org;abea3bd2-24fb-435d-8c24-6a535bbe537f;Treinamento Interno;O poder de mudar simplesmente;Melo;LGPD / Compliance;2023-10-29;2025-05-25;12;Presencial;Sim;Normativo / Regulatórios;ullam.pdf;Sunt eius fugit officia illo facere.
Fernanda Monteiro;Tecnologia da Informação (TI);gabriela33@rocha.br;2efa273f-ed5a-42d0-9d17-7851e68542db;Treinamento Interno;A certeza de ganhar sem preocupação;da Rosa;Finanças / Contabilidade;2025-03-12;;12;Presencial;Não;Cultura e Valores da Empresa;perferendis.pdf;
Heloísa da Rocha;Vendas;da-costacamila@uol.com.br;7d8c8266-678d-451b-bd3d-11e01acb2a12;Treinamento Interno;A possibilidade de atingir seus objetivos de maneira eficaz;da Luz Lima - ME;Infraestrutura de TI;2023-10-21;2024-04-26;20;Online gravado / EAD;Não;Cultura e Valores da Empresa;officia.pdf;
Lucas da Costa;Compliance / Governança;milenada-paz@ig.com.br;b3d5229a-cc50-44fc-acb7-bf76e5f765e0;Certificação externa;A liberdade de inovar de maneira eficaz;da Cruz;Gestão de Pessoas;2025-01-26;2027-05-18;20;Presencial;Sim;Técnica / Operacional;placeat.pdf;
Benjamin Castro;Compliance / Governança;fernandeselisa@vieira.com;6e9afe9b-0d58-41c5-a0a0-61ba67887166;Certificação externa;O direito de inovar naturalmente;Silveira da Mota S.A.;Investimentos;2023-09-12;2025-09-02;80;Presencial;Não;Normativo / Regulatórios;accusantium.pdf;
Bruna da Paz;Financeiro;oliveiraguilherme@bol.com.br;b90a786f-320d-42ec-b4f9-e7236e906aee;Certificação externa;A simplicidade de ganhar de maneira eficaz;Monteiro;Marketing / Brandig;2024-08-16;;8;Online ao vivo;Sim;Gestão / Liderança;libero.pdf;
Evelyn Pires;Administrativo;vazevedo@hotmail.com;8f2e98bf-1fa9-4101-b01e-b480863fed45;Treinamento Interno;O conforto de avançar naturalmente;Cavalcanti - ME;Comercial / Relacionamentos;2024-12-18;2026-07-27;8;Presencial;Sim;Técnica / Operacional;vitae.pdf;Eligendi est et animi omnis nesciunt cupiditate.
Rebeca Pires;Compliance / Governança;umoraes@ramos.com;c44d7b3c-a5cf-4752-824c-11d88779b059;Treinamento Interno;A simplicidade de atingir seus objetivos direto da fonte;Carvalho Mendes e Filhos;QA / Testes;2024-02-10;2026-05-14;8;Presencial;Não;Técnica / Operacional;cumque.pdf;
Benício Duarte;Atendimento ao cliente / Suporte;cunhaeduarda@cavalcanti.br;85844649-06bf-400a-bd32-48f2c195e4fe;Treinamento Interno;A possibilidade de atingir seus objetivos mais facilmente;Mendes;Comercial / Relacionamentos;2024-04-10;2024-12-04;80;Presencial;Sim;Cultura e Valores da Empresa;sit.pdf;Totam a dolor amet quo vitae pariatur.
Lucas Vieira;Financeiro;goncalvesmaria-luiza@castro.br;d9e7c895-6ba2-436b-98a1-8305733b63a0;Treinamento Interno;O direito de conseguir com toda a tranquilidade;Viana Nogueira S/A;Segurança da Informação;2024-08-13;2025-10-09;12;Online gravado / EAD;Não;Normativo / Regulatórios;quo.pdf;
Pedro Duarte;Marketing;almeidadavi@costela.br;59169da5-8841-497c-8f0d-62ba32b1212e;Treinamento Interno;O poder de avançar de maneira eficaz;Fogaça;Infraestrutura de TI;2024-12-25;;;Presencial;Sim;Técnica / Operacional;provident.pdf;
Arthur Dias;Compliance / Governança;pietra51@costa.com;0afcd93f-e0ba-4642-864b-28dfe8b1c487;Certificação externa;A vantagem de evoluir direto da fonte;Pereira;Gestão de Pessoas;DADO_INVALIDO;2027-10-04;4;Online ao vivo;Sim;Técnica / Operacional;aut.pdf;
Gabriel das Neves;Recursos Humanos (RH);maria-sophia49@uol.com.br;6cf0bf23-7f6d-4f11-9427-2926ff35deb5;Certificação externa;O prazer de inovar com toda a tranquilidade;Martins e Filhos;Comercial / Relacionamentos;2024-06-23;2025-09-06;;Online ao vivo;Não;Normativo / Regulatórios;commodi.pdf;Earum eaque distinctio repudiandae quasi a laboriosam.
Kamilly Caldeira;Vendas;wrezende@das.br;42503167-5638-4d18-b5a0-ccf018354553;Certificação externa;A liberdade de evoluir com toda a tranquilidade;Carvalho - EI;LGPD / Compliance;2024-09-07;2026-02-09;8;Online ao vivo;Sim;Técnica / Operacional;quo.pdf;Ab sed illo nam debitis beatae consectetur iste.
Nicolas Carvalho;Atendimento ao cliente / Suporte;souzamarcela@vieira.br;0bb0af0a-73a1-4d93-99e4-22c007d07238;Certificação externa;A certeza de conseguir em estado puro;Rodrigues;Atendimento ao Cliente;2023-09-02;2024-09-08;4;Híbrido;Não;Cultura e Valores da Empresa;distinctio.pdf;
André da Mota;Recursos Humanos (RH);luna67@bol.com.br;a520ac96-5b68-4a78-b7ce-3d506059cdc1;Treinamento Interno;A vantagem de atingir seus objetivos com confiança;Peixoto S/A;Marketing / Brandig;2024-03-19;2026-09-30;80;Presencial;Sim;Cultura e Valores da Empresa;maxime.pdf;
Marcelo Fogaça;Contabilidade;enzo67@uol.com.br;58ffdedb-eb66-47a9-9359-8ba0d07da37b;Treinamento Interno;A vantagem de realizar seus sonhos de maneira eficaz;Viana S.A.;Automação de Processos / Arquitetura de Soluções;2024-11-30;2027-09-19;12;Online gravado / EAD;Sim;Normativo / Regulatórios;enim.pdf;
Juliana Mendes;Atendimento ao cliente / Suporte;das-nevesana-sophia@costa.com;b6a966e1-e82b-419c-8b48-23cc0ab7b8ab;Certificação externa;A arte de evoluir com confiança;Correia Jesus S.A.;Operações Administrativas / Processos;2024-07-09;2026-09-04;;Presencial;Não;Normativo / Regulatórios;atque.pdf;
Daniel Teixeira;Jurídico;cardososofia@uol.com.br;b05f8a42-ad9d-441b-8705-c2b78cbd57bb;Treinamento Interno;A liberdade de inovar direto da fonte;Rezende - EI;Gestão de Pessoas;2024-03-03;2025-12-18;12;Online ao vivo;Não;Gestão / Liderança;ut.pdf;Laborum consequuntur labore.
Nathan Vieira;Administrativo;da-mataesther@nascimento.com;bf5e1a37-4364-4738-b100-dc3c0bd3ca34;Certificação externa;A simplicidade de avançar de maneira eficaz;da Costa;Automação de Processos / Arquitetura de Soluções;2023-09-29;2026-08-17;;Online gravado / EAD;Sim;Cultura e Valores da Empresa;cupiditate.pdf;
Nathan Peixoto;Compras;ugoncalves@das.br;9d9bff0e-8e87-4542-9851-d024c943a5af;Certificação externa;A vantagem de evoluir sem preocupação;Gomes;Automação de Processos / Arquitetura de Soluções;2024-01-18;2024-11-16;;Híbrido;Não;Gestão / Liderança;qui.pdf;
Ana Rocha;Marketing;maiterezende@cavalcanti.org;4c7ed8b1-ab16-4ee2-a8ca-f48e5285b38a;Treinamento Interno;A possibilidade de avançar mais rapidamente;da Cunha S.A.;Projetos / Scrum / Agile;2024-02-08;2026-10-17;40;Presencial;Não;Cultura e Valores da Empresa;facere.pdf;Nihil blanditiis vero qui.
Cecília Cavalcanti;Recursos Humanos (RH);costelatheo@bol.com.br;a5d2a607-84ae-400e-998b-cf12f1a268cf;Certificação externa;O direito de mudar simplesmente;Nogueira - EI;LGPD / Compliance;2023-10-06;2024-09-27;40;Online gravado / EAD;Não;Normativo / Regulatórios;minus.pdf;
Sr. Thiago Santos;Produtos;fogacalucas@ig.com.br;03ad3c9f-8755-4048-83df-23d975418a8c;Treinamento Interno;O poder de evoluir simplesmente;Fernandes Araújo e Filhos;Marketing / Brandig;2023-08-04;;20;Online gravado / EAD;Não;Técnica / Operacional;libero.pdf;
Leandro Silva;Design UX/UI;fernanda58@bol.com.br;dae6c5d7-8993-42b9-9147-60b9e7c35b14;Treinamento Interno;A vantagem de realizar seus sonhos em estado puro;Mendes Castro S.A.;Finanças / Contabilidade;2023-08-23;2025-06-23;80;Híbrido;Não;Normativo / Regulatórios;iste.pdf;Dicta nam animi beatae occaecati eius natus dolorum.
João Lucas Pinto;Compliance / Governança;mendesdaniel@pereira.br;f863c97e-0eab-4513-bec0-8d9ba3583d16;Treinamento Interno;O poder de avançar antes de tudo;Pereira e Filhos;Marketing / Brandig;2024-05-03;2024-12-19;;Online ao vivo;Não;Normativo / Regulatórios;corrupti.pdf;Atque perferendis ullam.
Giovanna Rodrigues;Compliance / Governança;cardosolucas@souza.com;98299382-f063-4d2d-b298-25b63ebdd2f2;Certificação externa;O direito de realizar seus sonhos naturalmente;Lima;Marketing / Brandig;2024-02-29;;80;Online ao vivo;Sim;Normativo / Regulatórios;illo.pdf;
Bianca Duarte;Compliance / Governança;asilva@yahoo.com.br;01da9766-2073-42d7-b191-05ba9934ca7c;Certificação externa;A arte de atingir seus objetivos com força total;Alves;Ciência de Dados / Analytics;2025-03-15;2026-12-19;80;Híbrido;Sim;Gestão / Liderança;facilis.pdf;Rerum dignissimos eius quos quos asperiores dolor laudantium.
Dra. Melissa Porto;Marketing;davi-lucca93@uol.com.br;b17ecbfa-d42c-4f3b-98a1-5b7de8f881fc;Certificação externa;A possibilidade de concretizar seus projetos em estado puro;da Mata;Atendimento ao Cliente;2024-01-19;;12;Online ao vivo;Sim;Normativo / Regulatórios;recusandae.pdf;
Sr. Davi Lucas Cavalcanti;Produtos;wfarias@yahoo.com.br;1c3a9889-7268-4327-aa67-9fbf6de54475;Certificação externa;O prazer de realizar seus sonhos mais rapidamente;Pires;QA / Testes;2024-09-19;;80;Híbrido;Não;Cultura e Valores da Empresa;temporibus.pdf;
João Lucas Mendes;Atendimento ao cliente / Suporte;ana-clara73@da.br;1740dd72-37a9-4cc9-b936-64f1889a9dc2;Certificação externa;A arte de evoluir naturalmente;Nunes Dias - ME;Design / UX e UI;2023-05-07;2025-07-13;80;Presencial;Sim;Cultura e Valores da Empresa;iste.pdf;
Kamilly Santos;Design UX/UI;danielribeiro@yahoo.com.br;ad82a3af-5018-4ecd-8832-71ee0422184e;Certificação externa;A segurança de avançar antes de tudo;Pinto Ribeiro S.A.;Operações Administrativas / Processos;2023-11-16;2025-08-24;;Online ao vivo;DADO_INVALIDO;Cultura e Valores da Empresa;dolore.pdf;
Laís Silveira;Compras;dvieira@freitas.com;ff1ff76d-ca45-4a5f-bffd-8bcdda36cc16;Treinamento Interno;O prazer de realizar seus sonhos direto da fonte;Azevedo;LGPD / Compliance;2023-04-27;2025-05-18;8;Híbrido;Não;Técnica / Operacional;libero.pdf;
Sarah Ribeiro;Produtos;limadaniela@fernandes.com;b8ea7764-3f4e-47c9-9b9e-941aed4a29bf;Certificação externa;A liberdade de ganhar com toda a tranquilidade;Correia Pereira Ltda.;Gestão de Pessoas;2025-02-21;;40;Online gravado / EAD;Sim;Gestão / Liderança;dolor.pdf;
Matheus Viana;Produtos;silveirajoao@uol.com.br;80bf7edb-6592-48c4-9fec-a0b71b4300f0;Certificação externa;A possibilidade de realizar seus sonhos mais rapidamente;Pires;Compras / Suprimentos;2023-09-20;;;Presencial;Não;Técnica / Operacional;fugiat.pdf;
Lívia Cunha;Compliance / Governança;almeidavitoria@hotmail.com;10d500eb-75a4-4a68-a6df-96fe6cc3d4fc;Treinamento Interno;A simplicidade de mudar com força total;da Mata - EI;Segurança da Informação;2023-04-29;2023-12-01;80;Online gravado / EAD;Sim;Cultura e Valores da Empresa;ea.pdf;
Fernanda Ramos;Marketing;andre17@yahoo.com.br;65ae8b84-5dc2-440b-84bc-95d5d1b68b23;Treinamento Interno;A arte de inovar mais facilmente;Araújo Caldeira S/A;Segurança da Informação;2023-11-21;;8;Presencial;Sim;Técnica / Operacional;quos.pdf;Cum repellendus voluptate molestiae est eos odio.
Mariana Fernandes;Administrativo;isabellada-rosa@bol.com.br;d7b0e4c4-4b19-44d1-aa2e-1cbb2372f0cd;Certificação externa;O direito de evoluir com confiança;Farias Ltda.;Ciência de Dados / Analytics;2023-06-29;2025-01-08;8;Online ao vivo;Sim;Normativo / Regulatórios;nesciunt.pdf;
Laís Aragão;Vendas;costalara@cunha.com;4ac48535-aefb-4e7b-bc46-b94cea96c0a0;Treinamento Interno;A segurança de atingir seus objetivos naturalmente;Barbosa;Design / UX e UI;2024-03-16;2025-09-03;;Online gravado / EAD;Sim;Técnica / Operacional;repellendus.pdf;
Lara da Paz;Marketing;dda-cruz@gmail.com;0f29a223-3009-41eb-815c-76cfe0d48cfc;Certificação externa;A liberdade de realizar seus sonhos com toda a tranquilidade;Caldeira;Saúde / Bem-estar no trabalho;2024-01-05;2025-03-26;;Online ao vivo;Não;Gestão / Liderança;cupiditate.pdf;
Nathan Farias;Design UX/UI;agatha86@ribeiro.org;b1dbf9f9-62e2-4b6b-b872-1ca9bd80498e;Certificação externa;A possibilidade de realizar seus sonhos em estado puro;Moura;Segurança da Informação;2024-03-27;2026-10-21;8;Online ao vivo;Sim;Técnica / Operacional;quidem.pdf;
Dr. Leonardo Pires;Administrativo;carolineda-paz@barbosa.org;61bf6a8d-45cd-448b-af0f-11e2c24df963;Certificação externa;A certeza de mudar direto da fonte;Rodrigues;Marketing / Brandig;2024-01-03;2024-07-17;8;Online ao vivo;Não;Gestão / Liderança;facilis.pdf;
Sr. Samuel Souza;Administrativo;tnascimento@yahoo.com.br;9068317c-4649-4e59-8adf-225e0511d7a9;Treinamento Interno;O conforto de ganhar sem preocupação;Fogaça Novaes - EI;Compras / Suprimentos;2023-12-05;2024-10-22;;Híbrido;Não;Técnica / Operacional;fuga.pdf;
Marcela Castro;Design UX/UI;nvieira@uol.com.br;82acc8e6-9d3e-4744-a91e-6df004499489;Certificação externa;O prazer de evoluir simplesmente;Cavalcanti;Comercial / Relacionamentos;2024-06-13;2025-08-28;12;Presencial;Não;Gestão / Liderança;mollitia.pdf;Nulla fuga expedita necessitatibus atque unde.
Srta. Ana Carolina Almeida;Administrativo;procha@bol.com.br;dee8971d-7d9b-4294-be4b-7ddc4dd656d0;Treinamento Interno;A segurança de inovar naturalmente;Dias;Automação de Processos / Arquitetura de Soluções;2024-11-18;2025-06-07;80;Híbrido;Sim;Gestão / Liderança;nam.pdf;Minima perferendis sapiente officia repellendus illum expedita repellendus.
Clarice Mendes;Design UX/UI;oliveiradavi@yahoo.com.br;369098ca-e8b2-4a45-a485-da5229e71473;Certificação externa;O prazer de atingir seus objetivos de maneira eficaz;Vieira Caldeira S/A;Finanças / Contabilidade;2023-11-05;2026-10-10;;Online ao vivo;Não;Normativo / Regulatórios;distinctio.pdf;Necessitatibus repellendus perspiciatis sint magni.
Luiza Fogaça;Jurídico;araujoana-julia@ig.com.br;6200d914-c973-432b-a6fc-f7f3fb418355;Certificação externa;A certeza de inovar de maneira eficaz;Pereira Ribeiro S.A.;Gestão de Pessoas;2024-12-12;2027-10-04;80;Híbrido;Sim;Gestão / Liderança;repellendus.pdf;
Olivia Rodrigues;Produtos;yagoda-cunha@da.br;7b14b74a-2a0e-473f-b903-a6c8c01761b0;Treinamento Interno;A liberdade de evoluir mais facilmente;Nascimento;QA / Testes;2024-04-02;2026-07-11;;Online gravado / EAD;Sim;Cultura e Valores da Empresa;sunt.pdf;
Srta. Eloah Duarte;Design UX/UI;joao-guilherme04@bol.com.br;b6d8bd94-a9db-4063-8eb7-26a92d45b2b2;Treinamento Interno;A simplicidade de conseguir com força total;Novaes;Segurança da Informação;2024-01-14;2026-12-15;20;Presencial;Sim;Normativo / Regulatórios;omnis.pdf;
Ana Lívia da Conceição;Design UX/UI;dviana@pereira.com;28d4ab1d-84ee-4989-9a3f-e205e542c949;Certificação externa;A certeza de evoluir de maneira eficaz;Porto Ltda.;Finanças / Contabilidade;2023-06-19;;;Híbrido;Sim;Normativo / Regulatórios;perferendis.pdf;
Dra. Beatriz Silva;Administrativo;murilomelo@da.br;5c216589-62c1-4f09-b210-380ada7050ef;Treinamento Interno;A vantagem de evoluir de maneira eficaz;da Cruz;LGPD / Compliance;2024-05-23;2027-05-15;4;Online ao vivo;Não;Normativo / Regulatórios;dolorum.pdf;
Ana Sophia Correia;Compliance / Governança;DADO_INVALIDO;6b38d773-4873-40a5-a49f-cbe403c6f610;Treinamento Interno;O conforto de evoluir naturalmente;Mendes Ltda.;Infraestrutura de TI;2023-08-15;;4;Online gravado / EAD;Sim;Técnica / Operacional;architecto.pdf;
Sr. Lorenzo Monteiro;Compras;brunaviana@vieira.com;bb6ab0a4-f015-474d-bd41-6db474fb6cf2;Treinamento Interno;A simplicidade de evoluir mais facilmente;da Cunha Ltda.;Comercial / Relacionamentos;2024-11-20;2025-11-29;20;Híbrido;Sim;Cultura e Valores da Empresa;sunt.pdf;
Sabrina Duarte;Recursos Humanos (RH);theosilveira@rezende.com;a92b03b6-1ea4-404a-9d7e-ffc68f8d261b;Certificação externa;A segurança de inovar com força total;Barbosa;Saúde / Bem-estar no trabalho;2024-10-16;2026-01-23;20;Híbrido;Sim;Gestão / Liderança;laborum.pdf;
Sr. Benjamin Jesus;Administrativo;alexiagoncalves@yahoo.com.br;3abf4852-ad14-4970-93f4-9ab835e79bfe;Treinamento Interno;O poder de atingir seus objetivos com toda a tranquilidade;da Mata Ltda.;Desenvolvimento de Software;2025-02-09;2026-05-04;40;Online gravado / EAD;Não;Gestão / Liderança;quisquam.pdf;Culpa fugiat necessitatibus illum quibusdam necessitatibus.
Ian da Mata;Compras;mcosta@ig.com.br;3aa6889d-bb6e-40cb-ab5b-3c26eec29023;Certificação externa;A vantagem de inovar com toda a tranquilidade;da Rosa;Automação de Processos / Arquitetura de Soluções;2024-09-30;2026-01-09;12;Online ao vivo;Não;Normativo / Regulatórios;animi.pdf;
Bruna Duarte;Compras;salesvitor-hugo@duarte.com;187105b6-3fe2-4b3f-8074-03d5f70712d2;Certificação externa;A possibilidade de ganhar com toda a tranquilidade;Moura;Finanças / Contabilidade;2023-08-07;;4;Online ao vivo;Não;Normativo / Regulatórios;est.pdf;
Maria Vitória da Cruz;Compras;joao01@gmail.com;d30ede22-bef2-4bec-b6bb-0ce1e63faef8;Treinamento Interno;A liberdade de avançar naturalmente;Castro;Finanças / Contabilidade;2023-08-02;2025-03-01;12;Online ao vivo;Sim;Gestão / Liderança;blanditiis.pdf;
Rodrigo Pereira;Atendimento ao cliente / Suporte;usales@da.com;d6212f2a-6552-4b76-9623-f366ab2dee24;Treinamento Interno;A liberdade de concretizar seus projetos antes de tudo;Aragão;Projetos / Scrum / Agile;2024-08-25;2027-08-16;;Online gravado / EAD;Sim;Normativo / Regulatórios;non.pdf;
Maria Cecília da Mata;Contabilidade;raquelferreira@alves.com;cf0d97ac-43d9-41de-a395-2199bd93d642;Certificação externa;O direito de concretizar seus projetos com toda a tranquilidade;Santos;QA / Testes;2023-06-19;2025-11-05;12;Presencial;Não;Cultura e Valores da Empresa;commodi.pdf;
Luna da Cruz;Compliance / Governança;ferreirajulia@bol.com.br;b75aa745-82ed-4c0a-8fb3-fffa30816b69;Certificação externa;O prazer de concretizar seus projetos direto da fonte;Farias;Gestão de Pessoas;2024-05-31;2025-05-09;;Online gravado / EAD;Sim;Gestão / Liderança;animi.pdf;
Diogo Aragão;Atendimento ao cliente / Suporte;breno00@novaes.br;ab4205fe-1fb6-4b79-aa03-62cff180c9e4;Treinamento Interno;A arte de atingir seus objetivos de maneira eficaz;da Mata;LGPD / Compliance;2024-05-01;2025-07-28;40;Presencial;Não;Normativo / Regulatórios;accusantium.pdf;
Thomas Carvalho;Contabilidade;alexiaduarte@da.com;64b6ce50-8d4e-4bd5-9046-869d7650fb9e;Treinamento Interno;O conforto de avançar direto da fonte;Nogueira;Atendimento ao Cliente;2024-10-07;2025-07-19;12;Presencial;Não;Gestão / Liderança;iure.pdf;Numquam recusandae exercitationem architecto dicta qui voluptatum.
Srta. Natália Rezende;Contabilidade;ofogaca@hotmail.com;0ba061ac-25e7-4fd8-8738-cf8fa598b1c5;Certificação externa;A vantagem de inovar de maneira eficaz;Dias e Filhos;Gestão de Pessoas;2025-02-22;2027-04-25;80;Híbrido;Sim;Gestão / Liderança;exercitationem.pdf;
Enrico Nogueira;Administrativo;feliperamos@monteiro.net;a9ca13fe-b360-42de-bd59-572a7a4eeacb;Treinamento Interno;A vantagem de atingir seus objetivos em estado puro;Monteiro Ltda.;Operações Administrativas / Processos;2024-06-12;2025-01-30;20;Presencial;Não;Normativo / Regulatórios;exercitationem.pdf;
Luna Souza;Tecnologia da Informação (TI);qaraujo@lima.br;61bd701a-2e1b-4099-bf6d-f63811ff42ae;Certificação externa;A arte de realizar seus sonhos com toda a tranquilidade;da Cruz Moura S.A.;Atendimento ao Cliente;2024-08-12;2025-08-04;40;Online ao vivo;Sim;Técnica / Operacional;provident.pdf;
Marina Gomes;Financeiro;ipinto@gmail.com;cb18d867-f511-4b57-a509-c67480167682;Treinamento Interno;A vantagem de ganhar simplesmente;Cavalcanti S.A.;Comercial / Relacionamentos;2025-01-11;2026-03-16;12;Híbrido;Não;Técnica / Operacional;explicabo.pdf;
Renan Jesus;Compliance / Governança;fariasenrico@viana.org;b7dfa0eb-422a-4aa0-b297-fbcfb478ae6f;Treinamento Interno;O prazer de realizar seus sonhos de maneira eficaz;Cardoso;QA / Testes;2023-11-15;2025-03-11;80;Presencial;Sim;Técnica / Operacional;vero.pdf;
